recv_ts_utc,exch_ts_ms,symbol,side,size,price,raw_json
2026-09-17T00:00:31.815355Z,1789603231299,ASTERUSDT,Sell,485,0.7101,"{""T"":1789603231299,""s"":""ASTERUSDT"",""S"":""Sell"",""v"":""485"",""p"":""0.7101""}"
2026-09-17T00:00:33.018446Z,1789603232619,AVAXUSDT,Sell,163.0,7.540,"{""T"":1789603232619,""s"":""AVAXUSDT"",""S"":""Sell"",""v"":""163.0"",""p"":""7.540""}"
2026-09-17T00:00:39.410355Z,1789603239134,LSKUSDT,Buy,710.1,0.45745,"{""T"":1789603239134,""s"":""LSKUSDT"",""S"":""Buy"",""v"":""710.1"",""p"":""0.45745""}"
2026-09-17T00:00:47.989101Z,1789603247608,SOXLUSDT,Sell,0.26,108.82,"{""T"":1789603247608,""s"":""SOXLUSDT"",""S"":""Sell"",""v"":""0.26"",""p"":""108.82""}"
2026-09-17T00:01:36.818005Z,1789603296513,SPCXUSDT,Sell,25.74,153.25,"{""T"":1789603296513,""s"":""SPCXUSDT"",""S"":""Sell"",""v"":""25.74"",""p"":""153.25""}"
2026-09-17T00:02:00.138108Z,1789603319962,AKEUSDT,Buy,1200,0.0194050,"{""T"":1789603319962,""s"":""AKEUSDT"",""S"":""Buy"",""v"":""1200"",""p"":""0.0194050""}"
2026-09-17T00:02:28.640517Z,1789603348247,AKEUSDT,Buy,13900,0.0193030,"{""T"":1789603348247,""s"":""AKEUSDT"",""S"":""Buy"",""v"":""13900"",""p"":""0.0193030""}"
2026-09-17T00:03:19.815414Z,1789603399511,XPLUSDT,Buy,2730,0.07983,"{""T"":1789603399511,""s"":""XPLUSDT"",""S"":""Buy"",""v"":""2730"",""p"":""0.07983""}"
2026-09-17T00:03:20.999195Z,1789603400712,DASHUSDT,Buy,11.39,55.29,"{""T"":1789603400712,""s"":""DASHUSDT"",""S"":""Buy"",""v"":""11.39"",""p"":""55.29""}"
2026-09-17T00:03:45.414351Z,1789603425277,LSKUSDT,Sell,10520.3,0.48991,"{""T"":1789603425277,""s"":""LSKUSDT"",""S"":""Sell"",""v"":""10520.3"",""p"":""0.48991""}"
2026-09-17T00:03:46.410284Z,1789603425920,LSKUSDT,Sell,25.4,0.49002,"{""T"":1789603425920,""s"":""LSKUSDT"",""S"":""Sell"",""v"":""25.4"",""p"":""0.49002""}"
2026-09-17T00:03:46.410284Z,1789603426033,LSKUSDT,Sell,2047.1,0.49175,"{""T"":1789603426033,""s"":""LSKUSDT"",""S"":""Sell"",""v"":""2047.1"",""p"":""0.49175""}"
2026-09-17T00:03:47.910316Z,1789603427552,LSKUSDT,Sell,139.5,0.49294,"{""T"":1789603427552,""s"":""LSKUSDT"",""S"":""Sell"",""v"":""139.5"",""p"":""0.49294""}"
